	Unnamed: 0	TajimaD	genename	loc	chr	PhytoHor_set
0	0	-0.93681084215	AT4G19470.TAIR10	10612993	Chr4	False
1	1	-0.084270379292	AT5G43860.TAIR10	17630450	Chr5	False
2	2	-2.28464325645	AT1G68650.TAIR10	25775741	Chr1	False
3	3	-0.558072208908	AT1G28050.TAIR10	9775528	Chr1	False
4	4	-0.976995484895	AT3G59880.TAIR10	22120969	Chr3	False
5	5	-2.14193573999	AT1G22030.TAIR10	7759164	Chr1	False
6	6	-1.85791998117	AT5G24330.TAIR10	8295147	Chr5	False
7	7	-1.69440668443	AT5G43990.TAIR10	17697889	Chr5	False
8	8	-2.27341913466	AT1G11410.TAIR10	3841286	Chr1	False
9	9	-0.952562150811	AT4G32890.TAIR10	15875470	Chr4	False
10	10	-1.6962151177	AT1G13990.TAIR10	4794756	Chr1	False
11	11	-1.83375711641	AT3G49744.TAIR10	18450232	Chr3	False
12	12	-1.19431119137	AT1G17620.TAIR10	6062216	Chr1	False
13	13	-2.10603432409	AT1G17420.TAIR10	5977411	Chr1	False
14	14	-2.11656973228	AT4G24210.TAIR10	12563553	Chr4	True
15	15	-0.488562613106	AT3G07080.TAIR10	2241036	Chr3	False
16	16	-1.69133874049	AT4G04340.TAIR10	2122908	Chr4	False
17	17	-1.31296712192	AT1G53282.TAIR10	19867930	Chr1	False
18	18	-2.19816988542	AT1G02070.TAIR10	370257	Chr1	False
19	19	-2.0231582895	AT4G00130.TAIR10	48266	Chr4	False
20	20	-2.10583097535	AT2G40850.TAIR10	17051123	Chr2	False
21	21	-1.57668628691	AT3G44910.TAIR10	16392064	Chr3	False
22	22	-0.00443220870392	AT3G15740.TAIR10	5333879	Chr3	False
23	23	-2.07687026791	AT4G06490.TAIR10	3116894	Chr4	False
24	24	-0.0050264896382	AT1G14690.TAIR10	5051760	Chr1	False
25	25	-2.15756844647	AT3G56560.TAIR10	20955404	Chr3	False
26	26	-1.42546748831	AT4G26970.TAIR10	13542918	Chr4	False
27	27	0.838945171423	AT4G14970.TAIR10	8553643	Chr4	False
28	28	-2.36687601886	AT2G27930.TAIR10	11892369	Chr2	False
29	29	-2.03460881427	AT5G40120.TAIR10	16051879	Chr5	False
