	IntA	IntB	originCol	qualityIntact	qualityBiogrid	confirmed
1	AT1G04250	AT1G04250	PvP	HQ	HQ	TRUE
2	AT1G73410	AT4G37260	PvP	#N/A	#N/A	FALSE
3	AT1G78590	AT1G78590	PvP	#N/A	#N/A	FALSE
4	AT4G32010	AT5G51760	PvP	#N/A	#N/A	FALSE
5	AT4G24470	AT4G24470	PvP	#N/A	#N/A	FALSE
6	AT3G23610	AT5G45810	PvP	#N/A	#N/A	FALSE
7	AT4G36930	AT4G36930	PvP	#N/A	binary	TRUE
8	AT5G45830	AT5G51760	PvP	#N/A	#N/A	FALSE
9	AT5G45830	AT5G45830	PvP	#N/A	#N/A	FALSE
10	AT1G35560	AT5G51760	PvP	#N/A	#N/A	FALSE
11	AT1G35560	AT1G73410	PvP	#N/A	#N/A	FALSE
12	AT1G35560	AT4G00240	PvP	#N/A	#N/A	FALSE
13	AT1G35560	AT5G45810	PvP	#N/A	#N/A	FALSE
14	AT1G35560	AT4G36930	PvP	#N/A	#N/A	FALSE
15	AT1G35560	AT1G35560	PvP	#N/A	#N/A	FALSE
16	AT1G77200	AT4G08150	PvP	#N/A	#N/A	FALSE
17	AT1G17550	AT2G40330	PvP,PvA	#N/A	#N/A	FALSE
18	AT1G17550	AT5G05440	PvP,PvA	#N/A	#N/A	FALSE
19	AT1G17550	AT5G53160	PvP,PvA	#N/A	non-binary	TRUE
20	AT1G01360	AT1G17550	PvP	#N/A	#N/A	FALSE
21	AT4G37260	AT5G67300	PvP,PvA	#N/A	#N/A	FALSE
22	AT2G25490	AT4G37260	PvP	#N/A	#N/A	FALSE
23	AT3G29350	AT4G37260	PvP	#N/A	#N/A	FALSE
24	AT4G37260	AT5G53160	PvP,PvA	#N/A	binary	TRUE
25	AT1G37130	AT5G18930	PvP	#N/A	#N/A	FALSE
26	AT2G04550	AT3G62340	PvP	#N/A	#N/A	FALSE
27	AT2G04550	AT3G23610	PvP	#N/A	#N/A	FALSE
28	AT3G23610	AT4G29810	PvP,PvA	#N/A	#N/A	FALSE
29	AT3G23610	AT3G29350	PvP	#N/A	#N/A	FALSE
30	AT1G21690	AT3G23610	PvP	#N/A	#N/A	FALSE
31	AT1G15550	AT4G36930	PvP	#N/A	#N/A	FALSE
32	AT1G07430	AT5G45830	PvP	#N/A	#N/A	FALSE
33	AT1G35560	AT2G25490	PvP	#N/A	#N/A	FALSE
34	AT1G35560	AT4G08150	PvP	#N/A	#N/A	FALSE
35	AT1G35560	AT2G04550	PvP	#N/A	#N/A	FALSE
36	AT1G35560	AT4G29810	PvP	#N/A	#N/A	FALSE
